"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sun Dec 17 18:31:55 CET 2023","Sun Dec 17 18:31:55 CET 2023","0","tests.ui","test_header","","","","test_find_next_stay",""
"passed","Sun Dec 17 21:01:45 CET 2023","Sun Dec 17 21:01:45 CET 2023","840","tests.api","test_open_page","","","","test_open_page",""
"passed","Sun Dec 17 21:03:09 CET 2023","Sun Dec 17 21:03:12 CET 2023","3518","tests.ui","test_header","","","","Check availability of Gift cards page",""
"broken","Sun Dec 17 21:03:25 CET 2023","Sun Dec 17 21:03:36 CET 2023","11537","tests.ui","test_login","","","","test_login",""
"broken","Sun Dec 17 18:31:50 CET 2023","Sun Dec 17 18:31:53 CET 2023","2429","tests.ui","test_header","","","","test_buttons_are_displayed",""
"passed","Sun Dec 17 21:02:52 CET 2023","Sun Dec 17 21:02:58 CET 2023","6389","tests.ui","test_header","","","","Check availability of changing the language",""
"passed","Sun Dec 17 21:02:15 CET 2023","Sun Dec 17 21:02:19 CET 2023","4816","tests.ui","test_header","","","","Check availability of a main logo",""
"broken","Sun Dec 17 21:02:06 CET 2023","Sun Dec 17 21:02:10 CET 2023","3691","tests.ui","test_footer","","","","test_inspiration_tabs",""
"broken","Sun Dec 17 18:31:24 CET 2023","Sun Dec 17 18:31:26 CET 2023","2108","tests.ui","test_header","","","","test_filter_is_clickable",""
"passed","Sun Dec 17 21:02:28 CET 2023","Sun Dec 17 21:02:31 CET 2023","3283","tests.ui","test_header","","","","Check availability of property icons",""
"broken","Sun Dec 17 18:32:04 CET 2023","Sun Dec 17 18:32:04 CET 2023","0","tests.ui","test_header","","","","test_login",""
"passed","Sun Dec 17 21:02:40 CET 2023","Sun Dec 17 21:02:43 CET 2023","3394","tests.ui","test_header","","","","Check the filter icon is clickable",""
"passed","Sun Dec 17 21:01:54 CET 2023","Sun Dec 17 21:01:58 CET 2023","3937","tests.ui","test_footer","","","","test_support_section",""
